crop,soil_type,soil_ph,temperature,humidity,rainfall,disease
Pepper,Clay,5.5,28,85,142,Bacterial Leaf Spot
Pepper,Sandy,6.1,35,61,28,Healthy
Pepper,Sandy,6.3,33,76,140,Bacterial Spot
Potato,Loamy,6.4,21,93,129,Late Blight
Potato,Loamy,5.6,26,94,65,Early Blight
Tomato,Loamy,6.9,30,72,146,Early Blight
Potato,Sandy,6.8,19,59,58,Healthy
Potato,Loamy,5.9,23,74,81,Early Blight
Potato,Loamy,5.8,19,65,45,Healthy
Potato,Loamy,7.0,23,86,119,Late Blight
Tomato,Sandy,6.7,27,71,25,Early Blight
Tomato,Loamy,6.4,29,66,37,Healthy
Potato,Sandy,6.2,26,86,123,Late Blight
Potato,Sandy,6.6,24,62,24,Healthy
Tomato,Loamy,6.2,27,72,155,Early Blight
Potato,Sandy,6.2,31,85,117,Late Blight
Potato,Loamy,6.8,22,85,59,Early Blight
Tomato,Loamy,6.3,35,89,106,Late Blight
Potato,Loamy,5.7,23,80,126,Early Blight
Tomato,Sandy,5.8,21,76,69,Early Blight
Pepper,Sandy,5.8,28,86,51,Bacterial Spot
Potato,Clay,7.0,22,90,16,Early Blight
Potato,Clay,6.0,33,93,60,Early Blight
Potato,Loamy,6.0,29,59,63,Healthy
Potato,Sandy,5.5,27,65,152,Healthy
Potato,Loamy,6.8,24,84,35,Early Blight
Tomato,Loamy,7.0,18,83,57,Early Blight
Tomato,Sandy,6.0,19,90,156,Late Blight
Pepper,Loamy,7.1,25,95,10,Bacterial Spot
Potato,Sandy,6.7,26,73,123,Early Blight
Tomato,Loamy,6.2,19,61,153,Healthy
Pepper,Loamy,5.9,26,62,25,Healthy
Tomato,Loamy,6.4,21,66,161,Healthy
Tomato,Clay,7.1,25,93,36,Early Blight
Pepper,Loamy,7.2,23,71,169,Bacterial Spot
Pepper,Sandy,5.7,24,63,95,Healthy
Tomato,Sandy,6.9,22,85,92,Early Blight
Tomato,Loamy,6.7,34,68,177,Healthy
Tomato,Clay,5.8,34,72,178,Early Blight
Potato,Loamy,6.0,27,65,119,Healthy
Pepper,Sandy,5.6,29,90,52,Bacterial Spot
Pepper,Clay,6.1,22,94,133,Bacterial Leaf Spot
Potato,Sandy,5.9,34,74,125,Early Blight
Tomato,Clay,6.9,32,83,170,Late Blight
Tomato,Loamy,6.6,24,62,129,Healthy
Pepper,Loamy,5.9,31,57,106,Healthy
Tomato,Loamy,5.8,25,55,102,Healthy
Pepper,Loamy,6.7,22,94,77,Bacterial Spot
Tomato,Clay,5.8,22,83,84,Early Blight
Tomato,Loamy,5.6,25,77,75,Early Blight
Potato,Loamy,5.6,24,79,164,Early Blight
Potato,Clay,6.9,20,94,38,Early Blight
Pepper,Sandy,5.6,28,70,122,Healthy
Pepper,Sandy,6.9,26,78,34,Bacterial Spot
Potato,Clay,6.2,29,57,70,Healthy
Pepper,Clay,6.5,20,72,39,Bacterial Spot
Potato,Sandy,6.3,35,64,55,Healthy
Pepper,Sandy,6.3,30,62,73,Healthy
Pepper,Sandy,6.0,25,90,87,Bacterial Spot
Potato,Loamy,5.8,31,72,99,Early Blight
Tomato,Sandy,6.1,32,56,93,Healthy
Tomato,Sandy,6.0,28,91,31,Early Blight
Potato,Sandy,6.8,32,74,40,Early Blight
Pepper,Loamy,6.5,33,57,147,Healthy
Potato,Loamy,5.6,29,91,151,Late Blight
Tomato,Sandy,6.2,31,76,73,Early Blight
Potato,Sandy,6.1,32,63,103,Healthy
Tomato,Clay,5.9,19,61,163,Healthy
Pepper,Sandy,5.9,34,64,171,Healthy
Tomato,Loamy,6.6,33,94,155,Late Blight
Pepper,Sandy,7.1,20,85,57,Bacterial Spot
Tomato,Sandy,5.8,24,92,177,Late Blight
Tomato,Clay,6.2,30,82,84,Early Blight
Tomato,Sandy,6.5,22,58,89,Healthy
Pepper,Clay,6.4,35,64,83,Healthy
Pepper,Clay,5.7,27,95,104,Bacterial Leaf Spot
Tomato,Loamy,5.7,35,74,128,Early Blight
Pepper,Loamy,5.5,21,80,56,Bacterial Spot
Tomato,Clay,5.7,25,92,49,Early Blight
Potato,Sandy,5.8,18,63,117,Healthy
Potato,Loamy,6.6,18,56,85,Healthy
Pepper,Sandy,6.8,33,64,140,Healthy
Tomato,Loamy,5.8,25,57,140,Healthy
Potato,Clay,6.4,20,82,47,Early Blight
Potato,Clay,6.4,28,61,35,Healthy
Tomato,Sandy,5.7,22,64,148,Healthy
Pepper,Sandy,6.2,27,91,39,Bacterial Spot
Pepper,Sandy,6.8,28,66,103,Healthy
Tomato,Sandy,6.6,18,87,117,Late Blight
Pepper,Loamy,6.9,26,64,97,Healthy
Tomato,Sandy,5.7,21,70,30,Healthy
Pepper,Loamy,6.7,20,90,27,Bacterial Spot
Potato,Clay,6.3,18,91,35,Early Blight
Potato,Loamy,6.8,25,81,11,Early Blight
Potato,Sandy,6.8,22,59,64,Healthy
Pepper,Sandy,6.6,28,62,17,Healthy
Pepper,Loamy,6.7,19,66,174,Healthy
Potato,Clay,5.6,27,86,60,Early Blight
Pepper,Loamy,6.7,26,74,48,Bacterial Spot
Potato,Sandy,6.8,22,63,51,Healthy
Tomato,Loamy,6.0,29,89,138,Late Blight
Pepper,Clay,5.7,19,62,34,Healthy
Tomato,Loamy,6.1,26,89,127,Late Blight
Tomato,Clay,6.2,21,81,166,Late Blight
Tomato,Sandy,6.9,34,77,175,Early Blight
Potato,Sandy,6.8,30,93,70,Early Blight
Pepper,Sandy,5.7,29,93,116,Bacterial Leaf Spot
Pepper,Clay,6.6,24,92,52,Bacterial Spot
Pepper,Sandy,6.3,30,70,79,Healthy
Tomato,Sandy,5.7,33,89,27,Early Blight
Tomato,Sandy,7.1,32,84,81,Early Blight
Potato,Sandy,5.6,30,84,171,Late Blight
Potato,Loamy,6.9,30,67,115,Healthy
Potato,Clay,6.7,32,80,31,Early Blight
Pepper,Loamy,6.6,30,93,11,Bacterial Spot
Potato,Sandy,6.8,30,89,108,Late Blight
Tomato,Clay,5.7,29,70,42,Healthy
Potato,Sandy,6.5,23,91,98,Early Blight
Tomato,Clay,6.4,32,71,121,Early Blight
Tomato,Sandy,5.7,21,71,142,Early Blight
Potato,Sandy,6.9,26,80,120,Early Blight
Pepper,Loamy,6.1,19,59,116,Healthy
Tomato,Loamy,6.5,22,86,36,Early Blight
Potato,Sandy,5.5,28,61,123,Healthy
Pepper,Sandy,6.1,30,88,59,Bacterial Spot
Tomato,Sandy,6.5,26,72,155,Early Blight
Potato,Loamy,6.8,28,74,24,Early Blight
Tomato,Clay,5.6,25,76,23,Early Blight
Pepper,Clay,5.5,23,69,158,Healthy
Tomato,Sandy,6.3,24,71,50,Early Blight
Pepper,Loamy,6.7,24,70,102,Healthy
Potato,Loamy,6.4,34,69,36,Healthy
Potato,Clay,6.4,31,91,62,Early Blight
Tomato,Sandy,6.3,21,95,78,Early Blight
Pepper,Clay,6.8,26,87,116,Bacterial Leaf Spot
Pepper,Loamy,7.1,31,73,127,Bacterial Spot
Tomato,Clay,6.7,32,87,159,Late Blight
Potato,Loamy,5.5,23,61,28,Healthy
Tomato,Sandy,6.1,31,58,73,Healthy
Tomato,Clay,5.6,19,83,160,Late Blight
Pepper,Clay,6.3,31,72,147,Bacterial Spot
Tomato,Loamy,6.7,28,95,179,Late Blight
Tomato,Loamy,6.8,34,86,68,Early Blight
Pepper,Loamy,5.7,32,60,94,Healthy
Pepper,Loamy,6.3,31,94,112,Bacterial Leaf Spot
Pepper,Clay,7.1,22,83,180,Bacterial Leaf Spot
Pepper,Clay,6.1,26,81,61,Bacterial Spot
Tomato,Sandy,6.3,20,59,155,Healthy
Pepper,Clay,6.9,33,67,41,Healthy
Pepper,Loamy,6.3,34,79,17,Bacterial Spot
Pepper,Clay,6.4,31,68,107,Healthy
Pepper,Loamy,5.9,18,87,76,Bacterial Spot
Tomato,Clay,7.0,25,95,88,Early Blight
Potato,Loamy,6.3,32,62,35,Healthy
Tomato,Clay,5.6,32,75,45,Early Blight
Pepper,Sandy,6.4,23,85,35,Bacterial Spot
Pepper,Clay,5.6,33,71,15,Bacterial Spot
Tomato,Loamy,6.8,34,78,92,Early Blight
Potato,Loamy,7.1,33,58,50,Healthy
Potato,Sandy,6.2,30,56,147,Healthy
Potato,Clay,7.0,20,82,60,Early Blight
Tomato,Clay,6.9,22,57,127,Healthy
Pepper,Sandy,6.3,31,73,29,Bacterial Spot
Potato,Loamy,6.8,18,78,160,Early Blight
Potato,Loamy,6.7,19,63,164,Healthy
Potato,Clay,6.7,33,65,144,Healthy
Pepper,Clay,6.5,31,76,121,Bacterial Spot
Potato,Clay,7.2,35,84,108,Late Blight
Pepper,Sandy,6.5,28,70,29,Healthy
Potato,Clay,7.0,35,74,40,Early Blight
Potato,Sandy,6.0,26,58,40,Healthy
Potato,Loamy,6.0,35,86,152,Late Blight
Pepper,Clay,5.8,34,59,105,Healthy
Potato,Sandy,6.4,27,66,106,Healthy
Potato,Clay,7.1,18,60,66,Healthy
Potato,Sandy,5.9,33,93,43,Early Blight
Pepper,Sandy,5.7,26,91,51,Bacterial Spot
Potato,Sandy,5.7,19,59,24,Healthy
Tomato,Loamy,6.6,30,64,125,Healthy
Tomato,Loamy,6.2,34,62,158,Healthy
Potato,Sandy,6.5,22,77,173,Early Blight
Pepper,Clay,5.9,24,78,146,Bacterial Spot
Tomato,Loamy,5.5,19,72,32,Early Blight
Tomato,Sandy,5.8,29,58,26,Healthy
Potato,Clay,6.1,22,77,39,Early Blight
Pepper,Loamy,5.9,19,58,85,Healthy
Pepper,Loamy,6.5,28,64,165,Healthy
Potato,Clay,5.6,33,86,129,Late Blight
Pepper,Loamy,5.5,21,87,134,Bacterial Leaf Spot
Pepper,Clay,5.5,32,82,176,Bacterial Leaf Spot
Potato,Clay,6.9,19,74,48,Early Blight
Potato,Clay,5.8,19,57,71,Healthy
Potato,Clay,7.0,27,79,143,Early Blight
Potato,Sandy,6.9,25,84,42,Early Blight
Pepper,Loamy,7.1,31,89,30,Bacterial Spot
Tomato,Clay,6.1,29,94,52,Early Blight
Pepper,Sandy,5.7,21,90,42,Bacterial Spot
Pepper,Clay,6.7,28,71,16,Bacterial Spot
Tomato,Sandy,6.3,21,68,64,Healthy
Tomato,Loamy,6.5,29,85,42,Early Blight
Pepper,Loamy,7.0,24,78,114,Bacterial Spot
Potato,Sandy,6.7,32,63,26,Healthy
Pepper,Loamy,6.5,22,59,10,Healthy
Potato,Sandy,6.4,27,74,149,Early Blight
Tomato,Clay,6.4,29,71,64,Early Blight
Tomato,Sandy,7.0,31,74,178,Early Blight
Pepper,Clay,5.5,33,71,170,Bacterial Spot
Tomato,Loamy,6.3,26,57,139,Healthy
Pepper,Clay,6.6,30,68,147,Healthy
Tomato,Sandy,5.6,31,69,54,Healthy
Potato,Sandy,6.8,31,76,105,Early Blight
Pepper,Sandy,6.8,28,86,32,Bacterial Spot
Pepper,Sandy,5.5,26,94,17,Bacterial Spot
Potato,Loamy,7.0,25,68,101,Healthy
Tomato,Sandy,6.7,35,93,138,Late Blight
Tomato,Sandy,6.4,28,76,162,Early Blight
Tomato,Clay,5.5,34,74,78,Early Blight
Pepper,Loamy,6.3,32,85,123,Bacterial Leaf Spot
Potato,Sandy,5.5,33,59,102,Healthy
Potato,Loamy,6.6,23,75,180,Early Blight
Tomato,Clay,6.1,34,65,105,Healthy
Potato,Clay,5.7,25,87,126,Late Blight
Tomato,Clay,7.2,22,64,34,Healthy
Tomato,Loamy,6.4,35,91,53,Early Blight
Pepper,Clay,6.3,29,69,83,Healthy
Pepper,Clay,6.4,23,89,65,Bacterial Spot
Tomato,Clay,6.4,33,94,167,Late Blight
Pepper,Sandy,7.0,21,55,64,Healthy
Tomato,Loamy,5.6,32,60,48,Healthy
Tomato,Sandy,7.2,19,94,47,Early Blight
Pepper,Clay,7.1,30,55,78,Healthy
Potato,Loamy,5.8,35,84,55,Early Blight
Potato,Loamy,5.5,25,59,116,Healthy
Pepper,Clay,6.5,19,68,11,Healthy
Pepper,Clay,6.9,29,71,130,Bacterial Spot
Pepper,Clay,7.1,22,73,85,Bacterial Spot
Potato,Loamy,7.0,25,59,58,Healthy
Tomato,Clay,5.8,30,81,65,Early Blight
Potato,Loamy,6.5,29,85,125,Late Blight
Potato,Sandy,7.0,26,83,96,Early Blight
Tomato,Loamy,6.0,22,78,57,Early Blight
Tomato,Sandy,7.1,33,63,89,Healthy
Pepper,Sandy,6.0,22,75,28,Bacterial Spot
Potato,Loamy,6.8,23,65,61,Healthy
Pepper,Loamy,5.9,28,64,144,Healthy
Tomato,Loamy,6.5,35,87,14,Early Blight
Tomato,Sandy,6.2,23,65,100,Healthy
Pepper,Sandy,7.0,24,69,97,Healthy
Tomato,Loamy,5.7,28,77,61,Early Blight
Tomato,Sandy,6.5,27,91,135,Late Blight
Potato,Sandy,6.9,34,85,134,Late Blight
Pepper,Clay,6.5,32,61,122,Healthy
Potato,Clay,6.5,32,78,162,Early Blight
Tomato,Clay,6.9,20,73,91,Early Blight
Pepper,Loamy,6.9,32,82,110,Bacterial Leaf Spot
Potato,Sandy,5.7,28,72,127,Early Blight
Tomato,Clay,6.7,34,79,137,Early Blight
Pepper,Sandy,6.4,25,60,166,Healthy
Potato,Sandy,6.1,32,71,64,Early Blight
Tomato,Sandy,6.2,35,72,107,Early Blight
Tomato,Sandy,6.6,18,64,150,Healthy
Pepper,Loamy,7.0,24,69,118,Healthy
Pepper,Sandy,5.8,26,59,145,Healthy
Pepper,Loamy,6.0,23,77,54,Bacterial Spot
Potato,Sandy,7.2,31,73,112,Early Blight
Tomato,Loamy,6.0,24,64,14,Healthy
Potato,Clay,5.9,29,68,14,Healthy
Potato,Sandy,5.9,25,67,39,Healthy
Tomato,Loamy,5.5,32,80,73,Early Blight
Pepper,Sandy,6.9,33,61,54,Healthy
Tomato,Sandy,6.7,28,81,107,Late Blight
Pepper,Sandy,6.7,32,76,66,Bacterial Spot
Tomato,Loamy,7.2,18,93,94,Early Blight
Tomato,Loamy,6.8,31,91,28,Early Blight
Pepper,Clay,6.6,23,80,117,Bacterial Spot
Pepper,Sandy,7.0,24,64,98,Healthy
Tomato,Loamy,6.7,18,74,43,Early Blight
Pepper,Clay,7.0,24,58,66,Healthy
Potato,Loamy,5.6,27,79,123,Early Blight
Potato,Clay,6.7,31,73,12,Early Blight
Pepper,Loamy,7.0,27,85,125,Bacterial Leaf Spot
Potato,Loamy,6.0,27,82,132,Late Blight
Tomato,Sandy,6.5,19,73,24,Early Blight
Potato,Sandy,5.8,23,89,30,Early Blight
Tomato,Clay,6.4,32,74,118,Early Blight
Potato,Sandy,6.3,30,83,106,Late Blight
Potato,Loamy,6.2,26,87,98,Early Blight
Tomato,Clay,6.4,28,62,110,Healthy
Tomato,Sandy,6.6,26,60,133,Healthy
Pepper,Sandy,6.3,32,67,40,Healthy
Pepper,Sandy,5.5,21,67,38,Healthy
Tomato,Loamy,5.6,29,76,43,Early Blight
Tomato,Loamy,6.7,33,57,22,Healthy
Tomato,Sandy,7.0,24,86,170,Late Blight
Pepper,Loamy,7.0,19,91,144,Bacterial Leaf Spot
Pepper,Clay,5.7,25,59,32,Healthy
Pepper,Clay,7.1,34,94,27,Bacterial Spot
Tomato,Loamy,6.5,29,89,21,Early Blight
Potato,Loamy,6.6,27,65,31,Healthy
Potato,Clay,7.1,19,77,29,Early Blight
Potato,Loamy,6.5,24,82,138,Late Blight
Tomato,Clay,6.7,25,95,127,Late Blight
Potato,Sandy,5.6,31,91,129,Late Blight
Potato,Loamy,5.5,33,77,73,Early Blight
Potato,Loamy,6.2,28,89,116,Late Blight
Potato,Clay,6.6,35,61,64,Healthy
Tomato,Clay,5.8,31,94,43,Early Blight
Potato,Sandy,5.9,26,71,63,Early Blight
Pepper,Clay,7.0,34,59,37,Healthy
Potato,Sandy,6.1,19,70,57,Healthy
Tomato,Clay,6.1,23,85,120,Late Blight
Pepper,Loamy,6.3,24,63,116,Healthy
Pepper,Clay,6.1,31,66,150,Healthy
Tomato,Clay,7.1,19,63,53,Healthy
Tomato,Sandy,6.8,32,79,72,Early Blight
Tomato,Loamy,5.6,31,87,115,Late Blight
Pepper,Sandy,5.6,22,56,159,Healthy
Potato,Loamy,6.1,34,89,148,Late Blight
Tomato,Loamy,5.9,21,74,14,Early Blight
Pepper,Clay,5.8,23,94,127,Bacterial Leaf Spot
Potato,Clay,6.9,35,58,175,Healthy
Tomato,Clay,6.9,33,58,22,Healthy
Potato,Clay,6.5,20,71,31,Early Blight
Pepper,Clay,5.8,24,87,96,Bacterial Spot
Pepper,Loamy,6.8,29,87,106,Bacterial Leaf Spot
Pepper,Sandy,6.6,31,63,76,Healthy
Pepper,Clay,6.9,29,90,164,Bacterial Leaf Spot
Tomato,Sandy,7.0,31,95,180,Late Blight
Pepper,Clay,7.1,35,68,93,Healthy
Tomato,Loamy,7.0,28,93,41,Early Blight
Potato,Loamy,6.5,30,65,143,Healthy
Pepper,Clay,5.5,27,66,165,Healthy
Tomato,Loamy,6.1,20,78,74,Early Blight
Potato,Clay,7.0,18,95,146,Late Blight
Tomato,Sandy,6.9,19,61,120,Healthy
Potato,Loamy,7.2,25,77,64,Early Blight
Pepper,Sandy,5.9,19,69,138,Healthy
Pepper,Loamy,5.6,33,76,45,Bacterial Spot
Pepper,Clay,6.9,35,94,165,Bacterial Leaf Spot
Potato,Loamy,5.8,20,59,119,Healthy
Potato,Clay,6.3,29,77,99,Early Blight
Potato,Loamy,6.7,35,56,140,Healthy
Pepper,Sandy,6.3,35,67,103,Healthy
Potato,Loamy,6.7,21,80,157,Early Blight
Pepper,Clay,5.5,33,79,13,Bacterial Spot
Pepper,Sandy,6.4,28,93,36,Bacterial Spot
Tomato,Loamy,6.7,23,88,154,Late Blight
Potato,Sandy,5.6,24,95,87,Early Blight
Tomato,Sandy,6.8,30,86,175,Late Blight
Pepper,Clay,6.5,21,93,160,Bacterial Leaf Spot
Potato,Sandy,6.1,30,62,59,Healthy
Tomato,Sandy,7.1,26,66,86,Healthy
Tomato,Loamy,7.1,31,78,80,Early Blight
Tomato,Sandy,7.2,27,74,27,Early Blight
Tomato,Sandy,7.0,35,77,103,Early Blight
Pepper,Loamy,6.4,29,60,53,Healthy
Tomato,Loamy,7.1,23,56,160,Healthy
Potato,Sandy,7.1,27,66,83,Healthy
Tomato,Sandy,6.1,20,94,132,Late Blight
Pepper,Clay,6.8,32,73,148,Bacterial Spot
Pepper,Clay,6.7,32,63,160,Healthy
Pepper,Loamy,5.8,22,68,161,Healthy
Potato,Clay,6.0,18,85,54,Early Blight
Potato,Loamy,6.8,30,84,19,Early Blight
Tomato,Sandy,7.1,23,94,64,Early Blight
Potato,Loamy,6.4,30,55,116,Healthy
Tomato,Loamy,6.0,19,72,142,Early Blight
Potato,Loamy,5.8,28,64,62,Healthy
Pepper,Loamy,7.1,27,63,114,Healthy
Tomato,Loamy,6.8,26,57,35,Healthy
Pepper,Loamy,6.1,30,68,164,Healthy
Pepper,Loamy,7.1,19,61,158,Healthy
Pepper,Clay,5.6,26,92,43,Bacterial Spot
Tomato,Clay,5.7,22,66,43,Healthy
Potato,Sandy,6.4,27,79,143,Early Blight
Potato,Clay,6.1,27,87,170,Late Blight
Pepper,Loamy,7.2,19,69,84,Healthy
Tomato,Clay,5.5,20,67,176,Healthy
Pepper,Loamy,5.8,19,92,50,Bacterial Spot
Pepper,Clay,6.6,24,64,35,Healthy
Potato,Loamy,6.1,34,78,163,Early Blight
Pepper,Sandy,7.0,34,61,63,Healthy
Potato,Loamy,7.0,18,84,54,Early Blight
Pepper,Loamy,5.7,26,73,116,Bacterial Spot
Tomato,Loamy,6.7,22,68,95,Healthy
Potato,Loamy,6.2,20,90,129,Late Blight
Potato,Sandy,5.8,33,84,127,Late Blight
Tomato,Loamy,5.6,26,92,18,Early Blight
Pepper,Clay,6.1,19,75,39,Bacterial Spot
Pepper,Loamy,5.9,28,81,64,Bacterial Spot
Tomato,Sandy,6.7,25,58,110,Healthy
Tomato,Clay,6.9,31,86,66,Early Blight
Potato,Loamy,6.1,26,60,137,Healthy
Tomato,Sandy,6.6,19,88,26,Early Blight
Tomato,Sandy,6.9,25,61,114,Healthy
Pepper,Loamy,6.0,30,55,94,Healthy
Tomato,Clay,5.7,34,68,99,Healthy
Potato,Loamy,6.2,22,77,172,Early Blight
Tomato,Sandy,6.0,24,74,57,Early Blight
Tomato,Clay,6.7,20,60,66,Healthy
Potato,Loamy,6.8,29,84,141,Late Blight
Potato,Sandy,6.6,35,70,115,Healthy
Potato,Loamy,6.9,25,88,43,Early Blight
Pepper,Clay,7.0,27,59,25,Healthy
Tomato,Clay,5.9,29,73,140,Early Blight
Pepper,Loamy,6.8,22,69,66,Healthy
Tomato,Clay,6.3,28,71,145,Early Blight
Pepper,Loamy,6.3,34,83,139,Bacterial Leaf Spot
Tomato,Clay,6.1,18,90,47,Early Blight
Tomato,Loamy,6.4,25,89,103,Late Blight
Potato,Clay,5.6,31,61,159,Healthy
Potato,Clay,6.2,18,95,16,Early Blight
Potato,Clay,6.8,25,88,150,Late Blight
Pepper,Sandy,6.0,32,92,148,Bacterial Leaf Spot
Pepper,Clay,7.0,25,70,38,Healthy
Tomato,Loamy,7.1,30,95,158,Late Blight
Pepper,Loamy,6.8,18,62,105,Healthy
Potato,Clay,7.1,33,89,19,Early Blight
Pepper,Sandy,6.8,21,93,69,Bacterial Spot
Potato,Clay,6.5,24,86,132,Late Blight
Pepper,Clay,6.4,24,78,94,Bacterial Spot
Potato,Sandy,7.2,33,72,166,Early Blight
Pepper,Sandy,6.2,23,76,89,Bacterial Spot
Pepper,Sandy,6.3,23,81,171,Bacterial Leaf Spot
Pepper,Sandy,6.0,27,89,180,Bacterial Leaf Spot
Pepper,Loamy,5.7,35,74,151,Bacterial Spot
Potato,Loamy,6.0,31,70,108,Healthy
Pepper,Sandy,6.7,23,77,79,Bacterial Spot
Pepper,Loamy,5.7,33,88,87,Bacterial Spot
Tomato,Loamy,5.6,27,59,43,Healthy
Pepper,Clay,5.9,34,86,15,Bacterial Spot
Potato,Clay,6.1,18,65,82,Healthy
Potato,Clay,6.4,35,75,89,Early Blight
Potato,Loamy,7.1,34,88,101,Late Blight
Pepper,Sandy,7.1,35,63,113,Healthy
Pepper,Clay,7.1,34,81,30,Bacterial Spot
Pepper,Clay,5.5,23,73,81,Bacterial Spot
Potato,Clay,6.1,35,78,42,Early Blight
Tomato,Loamy,6.7,18,76,113,Early Blight
Pepper,Loamy,7.1,26,78,134,Bacterial Spot
Pepper,Loamy,7.2,29,92,19,Bacterial Spot
Tomato,Clay,7.1,27,86,142,Late Blight
Potato,Clay,6.5,20,72,64,Early Blight
Pepper,Sandy,7.1,21,58,76,Healthy
Tomato,Loamy,6.0,24,69,42,Healthy
Pepper,Clay,6.7,24,94,20,Bacterial Spot
Pepper,Clay,6.4,23,57,56,Healthy
Pepper,Loamy,5.5,28,73,137,Bacterial Spot
Potato,Sandy,7.2,30,75,108,Early Blight
Pepper,Sandy,6.4,30,84,75,Bacterial Spot
Potato,Loamy,6.2,28,84,103,Late Blight
Pepper,Clay,7.1,22,80,61,Bacterial Spot
Tomato,Sandy,6.7,35,84,138,Late Blight
Pepper,Loamy,7.2,32,78,49,Bacterial Spot
Pepper,Sandy,6.8,19,61,102,Healthy
Potato,Clay,6.3,33,74,161,Early Blight
Potato,Loamy,6.1,26,84,109,Late Blight
Potato,Clay,7.0,26,59,87,Healthy
Tomato,Clay,6.9,30,67,80,Healthy
Tomato,Sandy,5.6,25,76,50,Early Blight
Potato,Loamy,6.4,18,63,154,Healthy
Potato,Sandy,6.2,34,70,177,Healthy
Tomato,Loamy,5.8,18,58,101,Healthy
Potato,Sandy,6.1,27,92,77,Early Blight
Potato,Loamy,6.4,28,64,104,Healthy
Potato,Clay,5.5,32,84,79,Early Blight
Pepper,Sandy,5.7,20,74,57,Bacterial Spot
Potato,Loamy,6.7,23,90,135,Late Blight
Potato,Clay,7.0,21,65,17,Healthy
Potato,Clay,6.8,18,94,75,Early Blight
Tomato,Sandy,6.1,26,88,24,Early Blight
Pepper,Loamy,6.5,20,68,175,Healthy
Potato,Sandy,5.9,27,64,20,Healthy
Potato,Clay,5.8,22,78,145,Early Blight
Tomato,Loamy,6.4,28,92,104,Late Blight
Pepper,Sandy,6.6,18,85,165,Bacterial Leaf Spot
